d.cod_familiar_fam,membros_domicilios,bairro,rpa,TP-04,TP-05,TP-06,TP-07,TC-09,TC-10,TC-12,vlr_TP_04,vlr_TP_05,vlr_TP_06,vlr_TP_07,vlr_TC_09,vlr_TC_10,vlr_TC_12,vlr_final_domicilio
5128683109,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4366515644,5,COHAB,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7721887348,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6530018352,1,MORRO DA CONCEICAO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6890476905,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7815636071,1,COQUEIRAL,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5405297372,1,BONGI,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6727896470,1,ALTO SANTA TEREZINHA,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3036835385,7,AGUA FRIA,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3868057170,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6023225705,1,PINA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6733196018,1,SANTO ANTONIO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6703508852,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
2477343300,9,IBURA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6003392541,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7140638438,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4879489638,1,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5916794266,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6683103917,1,MORRO DA CONCEICAO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7722030246,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7586197660,1,TORRE,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6535893103,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7221648743,1,VARZEA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6697337257,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6520864706,1,AREIAS,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6268366115,1,ILHA JOANA BEZERRA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7559845959,1,PRADO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7746514154,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6501430518,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6740103534,1,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6988371001,2,PINA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7009667659,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7196205979,1,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6793593463,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5167963486,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6088862386,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4216930107,6,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6312276104,1,VARZEA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4020881316,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5789171656,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5928953860,1,VASCO DA GAMA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5280186635,1,ALTO JOSE DO PINHO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6556075019,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6626377558,1,SANTO ANTONIO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6764898693,1,ILHA DO RETIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1871241758,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5512855590,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6561780353,1,CABANGA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7578591940,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5209821269,1,COHAB,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7532724310,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4506382510,5,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7672101315,1,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7736540039,1,JARDIM SAO PAULO,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4764416689,1,ALTO JOSE DO PINHO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6304573952,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7298290223,1,CURADO,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3956558111,1,NOVA DESCOBERTA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6501423490,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6907359790,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7242900360,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6651145240,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4216861032,1,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5581290130,2,SANCHO,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
2166201121,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6278654458,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7228618262,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4857204851,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5880707504,1,IBURA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7200196991,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5989531834,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7772835736,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4885641071,1,GUABIRABA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7050140376,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4808269864,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4794726619,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5718447586,1,IPSEP,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
2335441000,4,AFOGADOS,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3108094106,6,MORRO DA CONCEICAO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3125072166,3,MANGABEIRA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3503128425,5,COELHOS,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4552049186,5,NOVA DESCOBERTA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
